example_id,problem,problem_category,answer,answer_type
0,"Consider the OECD countries whose total population was composed of at least 20% of foreign-born populations as of 2023 (according to the Observatory of Migration at the university of Oxford). Amongst them, which country saw their overall criminality score increase by at least +0.2 point between 2021 and 2023 and their resilience score decrease by more than 0.3 between these same dates (according to the Organised Crime Index)?",Politics & Government,New Zealand,Single Answer
1,"There is a MMORPG game that was rumoured to have hit 50k online players after being up for only four hours when its vintage version was rereleased. There was a seasonal release for a doomsday game mode scenario, the goal in this mode being to become the last man standing. In this game mode powerful buffs can be obtained through killing monsters or through other players, these are split into three categories, what are those categories?",Media & Entertainment,"Combat, Skilling, Utility",Set Answer
2,"Name the two songs that went viral on TikTok by the artist who (from 2016 to 2021) played drums in a band that won ""Best Holy Local Band"" in the Phoenix New Times Best of Phoenix 2006.",Media & Entertainment,"I Can't Handle Change (2010), Christmas Kids (2010)",Set Answer
3,"I'd like you to analyze the top five universities in Mexico for 2021-2022, according to the Center for World University Rankings. Identify the city in which each of the top five is based, and tell me, using World Population Review's 2022 population figures, the name of the university located in the least-populated city.",Education,Autonomous University of San Luis Potosí,Single Answer
4,"Of the countries that were part of the top 10 countries with the lowest GPI scores in both 2022 and 2023 (according to Vision of Humanity), which countries had a reported gun homicide rate of less than 0.20 per 100,000 population in both 2022 and 2023 (according to World Population Review)? Only provide the country names.",Geography,"Austria, Switzerland, Singapore",Set Answer
5,"According to the 2016, 2017, and 2018 Director's Annual Reports published by the Toronto District School board, which year saw the largest percent change decrease in the number of secondary school students?",Education,2018,Single Answer
6,"List all the years that passed between the completion of the MLK Park Neighborhood selection of IVNA for Feasibility Study and the Fred Bunn Multiuse Trail's Manhattan Park Multi-Use Trails Construction. Include the first and last years, as well as those in between. Don’t include the year that Sharla Seath became the New Finance Director, or the year that Marc Schulz was elected to the City Commission.",Politics & Government,"2019, 2022, 2023, 2024",Set Answer
7,Which champion was picked most often by the losing team's top laner in the 2013 North American League Championship Series Summer Finals?,Other,Karthus,Single Answer
8,"According to Data NYC's MTA Subway Trains Delayed: 2020-2024 and Subway and Bus ridership on the MTA website, which stations in the top 10 busiest stations of 2023 are serviced by the subway line with the most delays caused by Fire, Smoke, Debris in the same year?",Other,"Times Sq-42 St/Port Authority Bus Terminal, 34 St-Herald Sq, and 14 St-Union Sq",Set Answer
9,"According to the NHS England Statistical Release Breastfeeding Initiation & Breastfeeding Prevalence 6-8 weeks (Quarter 1 2015/16), which 5 trusts with under 500 maternities achieved the lowest breastfeeding initiation rate? Order them from lowest rate to highest.",Health,"South Tyneside NHS Foundation Trust, George Eliot Hospital NHS Trust, Gateshead Health NHS Foundation Trust, Isle Of Wight NHS Trust, Wye Valley NHS Trust",Set Answer
